|comment|thensor|grade
24|Омерзительное произведение, причем абсолютно антинаучное. Верный путь человечества назад к каменному веку.|"[-10.499239   -8.659356   -8.230911  ... -10.303209  -10.3164625
 -10.310209 ]"|1
25|"Хотелось почитать про будни журналистов. Как можно было загубить такую богатую на идеи тему?! Фактическое отсутствие сюжета, вся книга - какая-то дурацкая суматоха, приправленная натужными попытками пошутить. Категорически ""невтемные"" пейзажи, полнейшая картонность героев, прорисовка характеров которых заключается разве что в начальном описании длиною в абзац, невероятно бездарные диалоги, неизменно начинающиеся с ""Привет"" и неизменно заканчивающимися при помощи ""Пока"". Тьфу восемьдесят раз. Невероятно жалко и потраченных денег, и потраченного времени. Предлагаю устроить ритуальное сожжение всего тиража."|[-7.986835 -7.731288 -6.618282 ... -8.112145 -8.109439 -8.110724]|1
26|Экзистенциальный маразм убогим языком. Диалоги чудовищны, сюжет беспомощен. Не читайте на ночь.|"[-10.751789   -7.060001   -7.3287244 ...  -8.456079   -8.457196
  -8.456638 ]"|1
27|Так любила Платову, но эту книгу даже не дочитала. Ужас!|[ -8.789337  -6.015226  -8.607166 ... -10.808227 -10.824395 -10.816835]|1
28|Бредовая вещь. Причём, без какой либо системы, просто делятся продукты по цвету. Это в корне неправильно, спросите у любого врача!|[ -7.404666  -9.134238  -8.08511  ... -10.161107 -10.170431 -10.16609 ]|1
29|Начало заинтересовало. Дочитывала с трудом. Бездарный язык и отсутствие сюжета. Депрессивные завывания героя - имхо нельзя читать.|[-8.054309  -8.0956135 -8.280775  ... -9.845313  -9.861666  -9.853961 ]|1
30|"Терпеть не могу это произведение. У Достоевского - самое ужасное, не понимаю, почему его проходят в школе? Вот ""Идиот"" - это да, это вещь. А читать и жалеть таких людишек, какие описаны в ""ПиН"", я не могу."|"[ -8.291403   -8.200134   -9.083569  ... -10.896182  -10.9134245
 -10.905352 ]"|1
31|Начал читать, но не нашел завязки... В итоге не дочитал.|"[-10.296257   -8.946084   -7.1028833 ...  -9.319343   -9.337749
  -9.329016 ]"|1
32|"Язык сложный, после Генри Миллера, Палланика практически ни чего не понятно. По ходу романа становится проще, но дело не спасает. Скучно, не запоминаешь фамилии и персонажи путаются. Нет порядка изложения, хотя мне сказали что автор специльно так придумал. Много слышала хороших отзывов, но с моим мнением совпал только один:""почему столько шуму? концовку еле прочитала..Скучно"""""|[-10.861325  -9.00174   -9.330405 ... -11.122258 -11.134436 -11.128757]|1
33|"Просто пыль..Не оставила никаких эмоций. Да, не отрицаю, что попытки нравоучения были применены. Там, ""наверху"", когда кажется, что достиг все, чувствуешь себя совсем одиноким и потерянным. Но книга не по мне..Я люблю сильные эмоции и красивый сюжет"|[-12.217492 -10.915405 -10.378723 ... -11.83607  -11.85248  -11.844789]|1
34|не понравилось однозначно! Не люблю перебор мистики и фантастики.|"[-12.708912  -10.1386595  -7.0883937 ... -10.909265  -10.92579
 -10.918018 ]"|1
35|"Отстой. Я не смог осилить 4 главы. Все эти главы состоят из описания сект и политического устройства (даже не интриг) далёкого будущего: секты на сектах, еретики и пр. муть. Читать эту книгу тяжело и неинтересно. Может фаны этого автора со мной будут и не согласны, но после фразы: ""он один способен уничтожить галактику"" мне стало окончательно ясно, что книга ориентирована на подростков, которым нравятся непобедимые герои и т.п. крайности. P.S. Насколько мне известно, это 3-я книга из серии."|[-9.532555 -8.104571 -8.69218  ... -9.930575 -9.941571 -9.936407]|1
36|В книге есть интересные идеи и мысли, но в целом книга оставила впечатление полного бессвязного бреда. Может дело в переводе, но язык мне совершенно не понравился, с трудом дочитала до конца|"[-10.085989   -7.9585958  -6.7670293 ...  -9.750284   -9.759621
  -9.7552185]"|1
37|А я так и не смогла его дочитать до конца. Нисколько не тронуло.|[ -9.68091  -10.865942  -9.868212 ... -11.202261 -11.223095 -11.21326 ]|1
38|При чтении книги создалось впечатление, что автор считает своих читатлей полными даунами|[-9.125512 -6.925793 -8.653989 ... -8.815452 -8.818601 -8.817131]|1
39|"Было гадко читать про этого американца. неинтересно, особенно если читать её после ""Всех оттенков голубого"". Не дочитала, бросила и забыла про эту книгу. Читалась тяжело и с принуждением."|[-11.816266  -9.638096  -9.871108 ... -11.595017 -11.613519 -11.604796]|1
40|Бред! Дочитала до конца только потому что в рекомендациях стояла первым номером. Плевалась. Порывалась бросить. Но домучила. Как можно это читать???|[ -9.273534 -10.180532  -9.092821 ... -10.846221 -10.860457 -10.85377 ]|1
41|Очень не люблю Дарью Донцову. По моему, очень примитивно написано. Но самое страшное в её книгах - это название...|[ -9.484423 -10.227545  -8.490419 ... -10.81921  -10.831111 -10.825536]|1
42|"Бениловское ""альтернативное"" видение советско-российской истории, мягко говоря, меня ОЧЕНЬ НЕ ПОРАДОВАЛО!"|[-6.287733  -3.8916998 -4.7104316 ... -6.220745  -6.2128944 -6.2165704]|1
43|Мерзость и пакость! Единственная стоящая мысль: мы думаем, что нам все должны просто потому что мы есть, а заслуги других не важны и принимаются, как само собой разумеющееся. Все - книга прочитана. Не читать!!!! КАК могли за ЭТО дать премию???|"[ -9.502389   -6.7833424  -7.8897276 ... -10.222012  -10.229054
 -10.225761 ]"|1
44|Уже читая првый рассказ, почувствовала, что схожу с ума. Следующие два просто заставила себя читать, надеясь найти хоть крупицу смысла. Что за дрянь?! Ни сюжета, ни смылса, ни языка! И садизм какой-то. Отвратительно.|[-7.8711934 -6.197454  -9.767478  ... -9.82508   -9.833691  -9.829671 ]|1
45|глупая книга, автор описывает свои бредовые фантазии.|[ -8.430747 -11.263185  -8.902632 ... -10.268771 -10.2837   -10.276649]|1
46|Такой дряни я не читал не то, чтобы давно, а пожалуй что никогда.|[-10.79308  -10.177399 -13.397995 ... -12.965903 -12.981223 -12.974025]|1
47|дерьмо|[-14.012925  -9.237281 -10.365609 ... -12.65026  -12.669696 -12.660504]|1
48|не стоит читать|[ -9.256126 -13.172376  -8.011429 ... -12.086678 -12.121449 -12.105062]|1
49|Ничего более скучного я не читала. Это просто ужасно.|[-12.780037  -9.460732 -11.513373 ... -12.22549  -12.247281 -12.23703 ]|1
50|Ничего более бредового, расчитанного на массы, безыскусного в жизни не читала. ширпотреб , отвратителнейшее произведеньице.|[-6.4219766 -5.388662  -6.4502482 ... -6.128228  -6.1196513 -6.123699 ]|1
51|"У меня язык не повернется назвать ""это"" книгой."|[ -9.20919  -11.320307  -8.627657 ... -12.438888 -12.459662 -12.449904]|1
52|Набор банальностей и глупостей|"[-12.926442   -7.9758606  -9.090819  ...  -9.693616   -9.716545
  -9.705725 ]"|1
53|Философия для недалекого ума.|[-7.8383183 -6.9924817 -9.603772  ... -8.998765  -9.012713  -9.006111 ]|1
54|Падение уровня образования порождает такие книги и их читателей.|[-11.434317  -8.281279  -9.331713 ...  -9.21754   -9.235887  -9.227216]|1
55|"Ненавижу книги в стилистике ""шиза для детей и взрослых"". Любители подобной литературы могут обратить свой взор на Паоло Коэльо. Подобно этому."|[-9.852549 -9.920194 -9.644203 ... -9.812464 -9.832516 -9.82309 ]|1
56|Грустно...|"[-12.244699   -8.881122  -12.046318  ... -10.3213005 -10.352505
 -10.337766 ]"|1
57|На специфического любителя.|[ -9.814036 -10.575487  -9.132566 ...  -9.891885  -9.913103  -9.903101]|1
58|Еле дочитала. Это все плохая привычка - дочитывать начатое :(|"[ -9.137872   -7.5869727  -8.234233  ... -10.255509  -10.270882
 -10.2636385]"|1
59|Рассказ для детей. Очень добрый и спокойный.|[-8.314555  -7.5052557 -8.674919  ... -9.605253  -9.619579  -9.612856 ]|1
60|Богатый внутренний мир писателя, его необыкновенное владение словом, умение мастерски строить сложнейшие предложения, таящие в себе глубокий смысл, отличает Марселя Пруста от других писателей. Думаю, этот писатель будет более близок зрелым умам, людям, склонным к глубоким раздумьям и философствованию. Нельзя назвать его произведения легким чтивом. Для людей легких и праздных произведения Марселя Пруста придутся не по душе. Отношу себя без стыда к оным)|[-8.631415 -7.91665  -9.837427 ... -9.459959 -9.464055 -9.46213 ]|1
61|Тошнило на всем протяжении чтения.|[-8.318613  -8.648054  -6.0566983 ... -7.537109  -7.552147  -7.5449758]|1
62|Роман мне не очень понравился. Скучный, пустой. Часто откладывала книгу, но потом заставляла себя дочитать до конца, надеясь, что он затянет, что далеше будет интересно. Оказалось, что это была пустая трата времени.|[-11.019171 -10.159791 -11.43911  ... -12.157209 -12.180077 -12.169321]|1
63|дрянь книга|"[-10.591749   -8.575491   -7.049468  ...  -7.8970985  -7.9107695
  -7.904276 ]"|1
64|Такая скучища!|[-6.941594  -6.651286  -5.5976653 ... -5.923985  -5.926385  -5.9251976]|1
65|Нудятина|"[ -9.911417   -7.421852   -8.0136175 ... -10.287601  -10.317641
 -10.303525 ]"|1
66|"Типичная фантастика. Ничего нового. В книге царит нестабильность. То есть автор то затягивает читателя в пучину происходящего, то, словно устав, ""сжевывает"" интересные события и детально описывает абсолютно пустые и малоинтересные моменты. В целом книга неплоха. Стоит прочитать хотя бы для понта ;)"|[-9.205041  -7.0979223 -7.532622  ... -9.46182   -9.463925  -9.462959 ]|1
67|Эти книги - прекрасный шанс восполнить пропущенные или забытые знания в школе. В них также много и другой полезнейшей информации, заставляющей задуматься, копнуть глубже, обратиться к дополнительной литературе. Очень познавательная серия. Хотелось бы еще передачи посмотреть, по которым были выпущены книги.|[-8.9914665 -8.183922  -6.3017755 ... -8.9545    -8.966631  -8.960916 ]|1
68|по-моему, в книге много минусов. главная интрига раскрывается уже на середине. да и на саму идею дома с дверями в разные миры можно было бы потратить побольше фантазии. единственный плюс: увлекательный язык и наблюдательность автора.|[-11.716758 -11.162542 -11.205898 ... -12.861173 -12.888987 -12.875899]|1
69|Бред, который написал неизвестно кто, а не кастанеда. И написал плохо. Я выбросил в помойку.|[-10.663548  -8.451267  -8.288372 ...  -9.731998  -9.742126  -9.737359]|1
70|книга абсолютно соответствует интеллектуальному уровню Макаревича|[ -7.320281 -11.053261  -8.178283 ...  -8.497228  -8.513162  -8.505682]|1
71|Согласна с Laska, после ПиН воротит от Достоевщины. А как снотворное книга в общем-то ничего.|"[ -9.188426   -6.1549926  -8.178732  ... -10.45662   -10.46425
 -10.460702 ]"|1
72|Отвратительная книга.|[-9.34271   -7.4271193 -7.852462  ... -8.985873  -8.997592  -8.992067 ]|1
73|Ужжжасно. Нудно, скучно, серо. Типичный избитый сюжет современной Росии. Ничего интересного. Я зря потратила деньги и время на этот опус Робски.|"[ -9.040149   -7.3171387  -8.794239  ... -10.45797   -10.467613
 -10.463084 ]"|1
74|"Совершенно фашистское произведение, унижающее не только женщин, но и мужчин, которые хоть на секунду с ним согласятся. Достаточно одной фразы (цитирую по памяти): ""Цивилизацию создали не женщины, не негры и не инвалиды"". За такое в Европе уже изъяли бы тираж и подали в суд. Крайнее варварство и ограниченность. Довольно лишь взглянуть на обложку и на фотографию автора на задней обложке, чтобы всё понять."|[-9.180296 -7.985492 -8.819033 ... -9.348282 -9.354019 -9.351307]|1
75|Книга доверху напичкана трюизмами. Читать скучно.|[-9.714541 -8.168321 -8.054372 ... -8.808413 -8.822785 -8.815995]|1
76|Полная х...Извините конечно!!Это просто читать нельзя!!!|"[ -9.515827   -8.118542   -6.6949787 ... -10.402767  -10.419188
 -10.411495 ]"|1
77|"Отвратительная книга, в которой особенно ""умиляет"" ""доброта"" одного из героев, который не хочет убивать ведьм и поэтому заставляет теток-ведьм гнить заживо в ямах без еды и воды, пока сами не помрут... Интересно, ему самому бы понравилось?"|[-10.267464  -9.834322  -9.318687 ... -11.675421 -11.693866 -11.68521 ]|1
78|"Скучно, тупо и мучительно больно за потерянное время! А аннотация в начале, превозносящая книгу и сравнивающая с действительно хорошими, причем утверждается, что эта книга лучше... Блин, ни стыда, ни совести у графоманов! В топку! А читать по теме Макса Далина! И Громыко - про ведьму!Энн Райс, на худой конец... Из ""юмора"" - Алекса Коша, Белянина ""Вкус вампира"" или про жену -ведьму... Или ""Здесь Вам не причинят никакого вреда"" автора не помню сейчас...."|[-7.891547 -8.628609 -8.299392 ... -9.882814 -9.890181 -9.886746]|1
79|Это когда нибудь закончится? эта писанина. Первые 10 книг читала с удовольствием, но сейчас невозможно. Одно и тоже.|[ -9.423851  -9.708871 -10.357692 ... -11.274396 -11.29201  -11.283738]|1
80|Zombie, +1 , книга посредственная. Жалею что потратил на неё целый воскресный вечер. Книга ни о чем.|[ -9.440603  -8.751834  -8.024798 ... -10.003031 -10.016625 -10.010192]|1
81|Гадость, скучно, не задевает, фу. Не читать однозначно. Ни одной стоящей мысли, образа, скучный и бедный язык...|[-11.931165  -8.836541 -10.03291  ... -11.764849 -11.771078 -11.768171]|1
82|Робски нравится недалеким людям. Для них тоже кто-то должен писать. Все ИМХО.|[ -8.66446  -10.039868  -8.998904 ... -11.268464 -11.295695 -11.282897]|1
83|Только начала читать и уже глубоко возмущена необъективностью автора и абсолютно неправильной системой доказательств. Пока все встреченные мною аргументы автора выглядели примерно так: вот был у меня как-то тупой американский студент, и ещё один тупой студент был, да ещё один - значит все американские студенты тупые.|"[ -9.997442   -8.181085  -10.13571   ... -10.8042145 -10.815542
 -10.810219 ]"|1
84|Я только вот чего хочу спросить: она обкурилась что ли перед тем, как такое написаь??? Такого бреда я не ожидала. Не знаю, как до конца дочитала|[ -9.651766  -8.521036  -9.964782 ... -11.485077 -11.499094 -11.492528]|1
85|конец книжки какойто бредовый :(|[-8.284398  -6.5583534 -5.748084  ... -9.002638  -9.019075  -9.011336 ]|1
86|Это детская литература?|[-8.562538  -7.8306417 -4.9058437 ... -7.8865643 -7.895446  -7.8912787]|1
87|Сам не знаю почему начал читать эту муть, мерзкая тупая книга.|"[ -7.61051    -9.866126   -9.0102825 ... -11.204402  -11.215927
 -11.210541 ]"|1
88|Ничего более ужасного я в жизни не читала. Жуткая тягомотина, приправленная сценами порнографического содержания.|[-9.602784  -7.2307606 -8.181793  ... -8.655071  -8.665842  -8.660769 ]|1
89|Хуже не придумаешь.Такое всё наивное, до безобразия! Читала и плевалась.|[-8.285032 -9.627114 -8.016395 ... -9.884641 -9.891258 -9.888134]|1
90|я прочитала на одном дыхании, пытаясь выудить главную идею, но так ее и не нашла.|[-11.579347 -10.842649  -9.593579 ... -11.651741 -11.672816 -11.662904]|1
91|"Попытка оживить ужасно нудную сюжетную линию исключительно за счёт внешнего антуража (статических декораций неумело перенесённых из ""крутого"" спорта (ну очень крутого), напыщенных аксесуаров ""красивой"" жизни и прочей дребедени),к оторая терпит полное и однозначное фиаско в силу абсолютного отсутствия наималейшей ИДЕИ. О. Дивов как всегда, в своём амплуа -- слепой поводырь. Слепой морально, идейно и ментально."|[-9.667459  -8.479974  -6.418412  ... -9.514559  -9.5208235 -9.517898 ]|1
92|"Может быть и верно , что ""в стране слепых и одноглазый король""* , но всё таки О.Дивов -- слепой поводырь. *Испанская пословица."|"[-10.066321  -10.151831   -8.8583355 ... -10.812596  -10.824583
 -10.818946 ]"|1
93|Ну вот вам и каламбурчик , господа : И автор ноль (с очень маленькой буквы) , Ну и книжонка соответственно г... , то-есть полный ноль хочу сказать.|"[ -8.424029   -6.51312    -8.2815695 ... -10.284167  -10.288257
 -10.286372 ]"|1
94|"Такой бред намутить надо ещё умудриться! Были места многообещающие, потом автор начала запутываться сама в совём желании переплюнуть и закрутить чтоб всем аж плохо стало. Плохо стало. Однозначно. А потом уже просто смешно было наблюдать за всем этим. Концовка вообще ""пришей кобыле хвост"", но к тому моменту я уже ничему не удивлялась... Вобщем, мой личный, субъективный вердикт - ерунда полная."|[ -9.160317  -8.227157  -8.794358 ... -10.889446 -10.897374 -10.893663]|1
95|Сгусток ненависти. Не читайте, правда, не стоит.|[-7.7814813 -7.0685434 -6.9028654 ... -8.229368  -8.251971  -8.241263 ]|1
96|Хуже и быть не может. Отвратительно. Кроме Насти меня ни на что больше не хватило. Было противно, хотела бросить, но один рассказ все же решила дочитать. Честно, не понимаю, кому подобное понравится. И как такое можно писать? Автор мне противен.|[ -9.697069  -9.757003  -9.649308 ... -11.188789 -11.202038 -11.195828]|1
97|Отвратительная байда. По сути - вялая и скучная порнушка, замаскированная под плохую фантастику.|"[-10.122297   -7.0102873  -6.244633  ...  -9.356313   -9.363905
  -9.360347 ]"|1
98|"Это называется: написать что-нибудь скандальненькое, чтобы срубить бабла. Причем никаких сдерживающих рамок по части того, что именно написать, у автора явно нет. Ценности текст не представляет... мягко говоря. Никакой ответственности перед читателем за точность изложения фактов и корректность аргументов автор на себя не берет, передергивает все, что угодно и с удовольствием. Поэтому упомянутые в одном из предыдущих отзывов ""занимательные факты"" вполне могут оказаться не достовернее застольных баек (а скорей всего, так и есть)."|[ -8.613785  -9.392886  -8.905118 ... -10.203541 -10.21879  -10.211619]|1
99|Отстой|[-8.24441   -7.226524  -6.1205273 ... -7.6332426 -7.646014  -7.6399317]|1
100|Если вам нравится, когда в книге нет ни одного положительного героя, то читайте!|[-12.401748 -11.935872  -9.748577 ... -12.371772 -12.401526 -12.387544]|1
101|"По Невскому медленно двигался вперемешку поток машин и пешеходов. Все дружно орали и размахивали синими флагами. Как оказалось, местечковая футбольная команда Зенит"" у кого-то что-то выиграла, и по этому поводу весь город гудел и бесновался. Хотя впоследствии выяснилось, что гудят и беснуются они даже в случае проигрыша. Что, впрочем, неудивительно, ибо на весь Питер футбольная команда только одна, и каждая её игра для аборигенов - событие. Не понравился мне Питер. Сравнить его с Москвой, да хотя бы даже сравнить на одну доску - откровенный идиотизм. Провинциальных городов в России много, и все они одинаковые. А Москва единственная и неповторимая, к тому же - настоящая столица."" Посмеялась от души! Хуже книги я еще не читала."|[-8.72697  -9.405313 -8.098003 ... -9.42132  -9.427374 -9.424556]|1
102|Ни в коем случае не читайте, не тратьте время. Муть и дрянь.|"[-12.615993   -9.767692  -10.805103  ... -11.08293   -11.100435
 -11.0921755]"|1
103|Соглашусь с предыдущим комментарием. Литература для стандартных домохозяек... Которая действительно притупляет интеллект и делает уязвимее для отрицательного влияния СМИ, что разумеется выгодно государству...|[-9.626103  -9.476152  -9.026949  ... -9.189081  -9.202532  -9.1962185]|1
104|В литературном отношении - ниже плинтуса, но почитать имеет смысл, чтобы понять, как устроены мелкие пакостники.|[ -9.789957  -6.915909  -8.638116 ... -10.093755 -10.103221 -10.09876 ]|1
105|Писал школьник для школьников.. Полное отсутсвие чувства слова, обычная литературная фигня, которой по сложившейся традиции зачитывается полмира, слабо понимающие и литературу, и искусство в целом.. Впрочем, может им большего и не нужно.. Что касается меня, то отношение к Коэльо однозначное - в печь!|[-7.48242  -6.880509 -7.162802 ... -8.815813 -8.820194 -8.818161]|1
106|Ужасная чушь, но некоторым нравится: либо людям с проблемамии в части логического мышления, либо сдвинутым на русофилии (уж если русский - то с палеолита, а еще лучше - из юры!), либо коллекционерам глупостей (вроде меня). Вначале профессор Чудинов был довольно тихим сумасшедшим, но теперь заматерел, научился заколачивать деньги, и стал гнать откровенную чернуху. Главное, чтобы патриотично, и чтобы заговор против русской истории вообще, и отдельных передовых ученых, в частности. И в последнее время стал довольно агрессивным. И писучий, гад. Даже с моей страстью к чудакам всего прочитать внимательно не могу - но и отличий немного.|[ -7.738396  -8.354495  -8.203421 ... -10.532595 -10.538881 -10.535944]|1
107|Ой, здесь интересно, здесь русские в палеолите... Ужасная чушь, но некоторым нравится: либо людям с проблемамии в части логического мышления, либо сдвинутым на русофилии (уж если русский - то с палеолита, а еще лучше - из юры!), либо коллекционерам глупостей (вроде меня). Вначале профессор Чудинов был довольно тихим сумасшедшим, но теперь заматерел, научился заколачивать деньги, и стал гнать откровенную чернуху. Главное, чтобы патриотично, и чтобы заговор против русской истории вообще, и отдельных передовых ученых, в частности. И в последнее время стал довольно агрессивным. И писучий, гад. Даже с моей страстью к чудакам всего прочитать внимательно не могу - но и отличий немного.|"[ -8.20512    -8.5320215  -8.564537  ... -10.807911  -10.81608
 -10.812259 ]"|1
108|Это вообще полный бред, тем более забавный, что объектом выбран первый классик. Господи, что он только не написал, оказывается, и с какими грамматическими ошибками... Чудинов рулит... но оцтой канешна.|"[ -7.841567   -7.279142   -7.7072396 ... -10.002046  -10.009355
 -10.005923 ]"|1
109|Редкостная дрянь. Прочитала от безвыходности в поезде. Лучше не тратить время.|[-10.251526 -10.574268  -8.27419  ... -10.291173 -10.302411 -10.297104]|1
110|Ни о чём.|"[-11.33584    -8.763855   -7.6387415 ... -10.249995  -10.266366
 -10.258636 ]"|1
111|"Тааакой бред!!! На мой взгляд, книга написана ради одной-единственной мысли: ""Меня ПРОНЗИЛА мысль, что единственный во всем мире, кому придется прожить мою жизнь, это не кто иной, как я сам."" Это поразииительно глубокая, а главное - НОВАЯ мысль!!!!!! Наверное, очень сложно до этого дойти самому,без помощи Лу. Ну просто смешно, товарисчи!!!"|[-7.98329   -7.098509  -7.1166825 ... -9.105599  -9.115635  -9.110909 ]|1
