;Hyponim;hyperonim;text ;source;;;
31;КАРАКАТИЦА;моллюск;Карака?тицы (лат. Sepiida) — отряд моллюсков из класса головоногих.;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D0%B0%D1%82%D0%B8%D1%86%D1%8B;;;
32;КАРАКАТИЦА;головоногое;Хоть каракатица (лат. Sepiida) и принадлежит к классу головоногих, с другими моллюсками ее почти ничего не роднит. Взять хотя бы панцирь, который у каракатицы находится не снаружи, а внутри тела и отвечает за ее плавучесть. А тот факт, что это существо имеет целых три сердца, достоин внесения в морскую Книгу рекордов Гиннеса. Два из сердец координируют работу жабр, а третье ответственно за функционирование нервной системы.;http://www.zoopicture.ru/karakaticy/;;;
33;КАРАКАТИЦА;;;;;;
34;КАРАКАТИЦА;;;;;;
35;КАРАКАТИЦА;;;;;;
36;КАРАКУРТ;паук;Караку?рт— вид пауков из рода чёрных вдов. Латинское название вида передаёт внешние морфологические признаки: тринадцать точек или пятен на верхней стороне брюшка.;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B0%D0%BA%D1%83%D1%80%D1%82;;;
37;КАРАКУРТ;черная вдова;;;;;
38;КАРАКУРТ;;;;;;
39;КАРАКУРТ;;;;;;
40;КАРАКУРТ;;;;;;
41;КАРБАС;транспортное судно ;Ка?рбас, также карба?с[1] и карбус, (вепс. karbaz) — парусно-гребное промысловое и транспортное судно среднего размера, одно из основных у поморов и распространённое у других жителей Севера и Сибири, начиная не позднее чем с XV[2] и до середины XX века. Для поморского диалекта русского языка характерно произношение с ударением на первый слог и форма множественного числа «карбаса?»[3].;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B1%D0%B0%D1%81;;;
42;КАРБАС;лодка; Большая лодка для рыбного промысла (на Белом и Баренцевом морях);https://www.google.com/search?biw=1536&bih=754&sxsrf=ACYBGNSUiy6Rls40r0TxmXIBQT7qR-in9A%3A1581885158165&ei=5qZJXrLfCd2Ik74PydWFmA0&q=%D0%9A%D0%90%D0%A0%D0%91%D0%90%D0%A1&oq=%D0%9A%D0%90%D0%A0%D0%91%D0%90%D0%A1&gs_l=psy-ab.3..0l4j0i10l6.17392.17392..17764...0.0..0.177.333.0j2......0....2j1..gws-wiz.......35i39.0TxWI4xawzc&ved=0ahUKEwiy6rW39dbnAhVdxMQBHclqAdMQ4dUDCAs&uact=5;;;
43;КАРБАС;;;;;;
44;КАРБАС;;;;;;
45;КАРБАС;;;;;;
46;КАРБИД;соединение металлов и неметаллов;Карби?ды — соединения металлов и неметаллов с углеродом. Традиционно к карбидам относят соединения, где углерод имеет бо?льшую электроотрицательность, чем второй элемент (таким образом из карбидов исключаются такие соединения углерода, как оксиды, галогениды и т. п.);https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B1%D0%B8%D0%B4%D1%8B;;;
47;КАРБИД;тугоплавкие вещества;Карбиды — тугоплавкие твёрдые вещества. Они нелетучи и не растворимы ни в одном из известных растворителей. Карбиды бора и кремния (В4С и SiC), титана, вольфрама, циркония (TiC, WC и ZrC соответственно) обладают высокой твёрдостью, жаростойкостью, химической инертностью.;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B1%D0%B8%D0%B4%D1%8B;;;
48;КАРБИД;кристаллический металл;Карбид кальция (CaC2) – это твердый кристаллический материал, который способен активно реагировать с водой и выделять большое количества тепла и газа (ацетилена). Поэтому его часто применяют при газовой сварке. Побочный отход процесса - гашеная известь. Универсальность карбида кальция заключается в том, что его можно использовать для производства удобрений, синтетического каучука, этилена, винилхлорида, ацетона и уксусной кислоты.;https://www.belsvamo.by/catalog/materialy_dlya_gazovoy_svarki/;;;
49;КАРБИД;композит;Карбид – это композит, который состоит из твердого материала и относительного мягкого связующего вещества. Он отличается чрезвычайно высокой твердостью при стандартных и высоких температурах, а также повышенной износостойкостью. Этот материал применяется при производстве инструментов или компонентов в большом количестве областей, где требуется особая износостойкость (например, при обработке твердых материалов). Карбид улучшает качество инструментов и компонентов, повышает продолжительность их срока службы и обеспечивает безопасность технологических процессов.;https://www.ceratizit.com/ru/home/karbid-volframa/;;;
50;КАРБИД;;;;;;
51;КАРДИОМИОПАТИЯ;заболевание сердечной мышцы;Кардиомиопатии – это первичные заболевания сердечной мышцы. Их надо отличать от структурных заболеваний сердца, таких как ишемическая болезнь сердца, патология клапанного аппарата, врожденные пороки сердца. На основании патологических признаков кардиомиопатии подразделяются на 3 основных типа: (см. рисунок Типы кардиомиопатии [Forms of cardiomyopathy]):;https://www.msdmanuals.com/ru/%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9/%D0%BD%D0%B0%D1%80%D1%83%D1%88%D0%B5%D0%BD%D0%B8%D1%8F-%D1%81%D0%B5%D1%80%D0%B4%D0%B5%D1%87%D0%BD%D0%BE-%D1%81%D0%BE%D1%81%D1%83%D0%B4%D0%B8%D1%81%D1%82%D0%BE%D0%B9-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%8B/%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D0%B8/%D0%BE%D0%B1%D0%B7%D0%BE%D1%80-%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D0%B9-overview-of-cardiomyopathies;;;
52;КАРДИОМИОПАТИЯ;нарушение функционирования миокарда ;Дилатационная кардиомиопатия – нарушение функционирования миокарда, приводящее к сердечной недостаточно­сти, при которой преобладают дилатация желудочков и систолическая дисфункция. Симптомы включают одышку, усталость и периферические отеки. Диагноз устанавливают на основании клинических данных и повышенного содержания натрийуретических пептидов, результатов рентгенографии грудной клетки, эхокардиографии и МРТ. Лечение ориентировано на устранение причины заболевания. Если сердечная недостаточность является тяжелой и прогрессирующей, могут быть показаны: ресинхронизирующая сердечная терапия, ИКД, ликвидация тяжелой митральной регургитации или трансплантация сердца.;https://www.msdmanuals.com/ru/%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9/%D0%BD%D0%B0%D1%80%D1%83%D1%88%D0%B5%D0%BD%D0%B8%D1%8F-%D1%81%D0%B5%D1%80%D0%B4%D0%B5%D1%87%D0%BD%D0%BE-%D1%81%D0%BE%D1%81%D1%83%D0%B4%D0%B8%D1%81%D1%82%D0%BE%D0%B9-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%8B/%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D0%B8/%D0%B4%D0%B8%D0%BB%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%B0%D1%8F-%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D1%8F;;;
53;КАРДИОМИОПАТИЯ;заболевание миокарда;Кардиомиопатии — гетерогенная группа заболеваний миокарда, связанных с механической или электрической дисфункцией, которая обычно проявляется неадекватной гипертрофией или дилатацией. Кардиомиопатии могут как изолированно поражать только сердце, так и быть частью генерализованного системного заболевания, часто приводят к сердечно-сосудистой смерти или к инвалидизации, обусловленной прогрессирующей сердечной недостаточностью.;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D0%B8;;;
54;КАРДИОМИОПАТИЯ;сердечная патология;Кардиомиопатия – это сердечная патология, характеризующаяся поражением миокарда (мышечного, срединно-расположенного слоя сердца). При заболевании отмечается нарушение циркуляции крови по всему организму, что негативно отражается на его функционировании и провоцирует угрозу для жизни человека.;https://www.smclinic.ru/diseases/k/kardiomiopatiya/;;;
55;КАРДИОМИОПАТИЯ;болезнь;Кардиомиопатии (КМП) — это группа заболеваний сердца, главной характеристикой которых является наличие дефектов в самой сердечной мышце, миокарде. При этом причины возникновения патологии и характер повреждения мышцы могут сильно различаться, что влечет за собой разницу в симптомах болезни и ее лечении.;https://odrex.ua/treatment/kardiomiopatii/;;;
56;КАРЕТКА;часть велосипеда;Велосипедная каретка (англ. bottom bracket) — часть велосипеда, соединяющая, с одной стороны, шатуны педалей и ведущую звезду и раму велосипеда, с другой стороны. Каретка позволяет свободно вращать шатуны педалей, приводить в движение велосипедную трансмиссию, при этом обеспечивая её жесткую фиксацию на велосипеде. Конструктивно представляет собой вал, систему подшипников и стакан, фиксирующий на каретку элемент на раме.;https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%BE%D1%81%D0%B8%D0%BF%D0%B5%D0%B4%D0%BD%D0%B0%D1%8F_%D0%BA%D0%B0%D1%80%D0%B5%D1%82%D0%BA%D0%B0;;;
57;КАРЕТКА;часть механизма;КАРЕТКА — часть механизма или машины, передвигающаяся по направляющим или, реже, вращающаяся в подшипниках (в металлорежущих станках — часть суппорта, в пишущих машинках — рамка с валиком для бумаги, в ткацких станках — часть механизма, изготавливающая мелкоузорчатые или сложные переплетения тканей, в велосипедах — педальный механизм и др.).;https://polytechnic_dictionary.academic.ru/875/%D0%9A%D0%90%D0%A0%D0%95%D0%A2%D0%9A%D0%89;;;
58;КАРЕТКА;часть машины;КАРЕТКА — часть механизма или машины, передвигающаяся по направляющим или, реже, вращающаяся в подшипниках (в металлорежущих станках — часть суппорта, в пишущих машинках — рамка с валиком для бумаги, в ткацких станках — часть механизма, изготавливающая мелкоузорчатые или сложные переплетения тканей, в велосипедах — педальный механизм и др.).;https://polytechnic_dictionary.academic.ru/875/%D0%9A%D0%90%D0%A0%D0%95%D0%A2%D0%9A%D0%90;;;
59;КАРЕТКА;орган вязальной машины;Каретка - это самый важный рабочий орган вязальной машины. Используя рычаги управления расположенные на каретке, можно управлять работой иголок для выполнения различных переплетений. То есть, при вязании узоров и сложных рисунков, иголки будут выдвигаться в рабочее или нерабочее положении. Те иголки, которые в рабочем положении, каретка будет провязывать и наоборот. Если каретка движется слева направо, то пользуются рычагами справа, и наоборот - это важный момент. Управление рычагами каретки вязальной машины при вязании различных узоров предпочтительней осваивать опытным путем.;http://www.shyu.ru/shvejnye-terminy-k.html;;;
60;КАРЕТКА;узел;Каретка - узел, помещающийся в кареточной трубе. Каретка состоит из вала (оси) каретки, подшипников и двух шатунов.;https://sportextrem.ru/articles/poleznoe/slovar-velosipednykh-terminov/;;;
61;КАРТ;;;;;;
62;КАРТ;автомобиль;КАРТ (англ. cart) - гоночный микролитражный автомобиль без кузова, дифференциала и упругой подвески колес для соревнований на небольшой площадке (картинг). Двигатель 2-тактный с рабочим объемом до 250 см?. Максимальная скорость 150 км/ч.;https://dic.academic.ru/dic.nsf/enc3p/149898;;;
63;КАРТ;;;;;;
64;КАРТ;;;;;;
65;КАРТ;;;;;;
66;КАРТИНГИСТ;спортсмен;картингист - спортсмен, занимающийся картингом;https://ru.wiktionary.org/wiki/%D0%BA%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%B3%D0%B8%D1%81%D1%82;;;
67;КАРТИНГИСТ;участник картинга;картингист - участник картинга;http://xn----8sbauh0beb7ai9bh.xn--p1ai/%D0%BA%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%B3%D0%B8%D1%81%D1%82;;;
68;КАРТИНГИСТ;;;;;;
69;КАРТИНГИСТ;;;;;;
70;КАРТИНГИСТ;;;;;;
71;КАРТОФЕЛЕВОД;специалист ;картофелевод - Специалист по картофелеводству;https://dic.academic.ru/dic.nsf/ogegova/80930;;;
72;КАРТОФЕЛЕВОД;фермер;Валентин Леконцев – один из ведущих картофелеводов и один из старейших фермеров Удмуртии. Свое КФХ под названием «Кузьмичево» он открыл еще в далеком 2002 году. Фермерствует мужчина уже 17 лет, из года в год получая стабильные урожаи «второго хлеба».;http://mcx.ru/press-service/regions/lyudi-truda-kartofelevod-valentin-lekontsev-iz-udmurtii/;;;
73;КАРТОФЕЛЕВОД;;;;;;
74;КАРТОФЕЛЕВОД;;;;;;
75;КАРТОФЕЛЕВОД;;;;;;
76;КАРТУЗ;головной убор;Карту?з — мужской головной убор, имевший распространение в XVI — начале XX века в Северной и Восточной Европе (больше всего у немцев, голландцев и русских).;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D1%82%D1%83%D0%B7;;;
77;КАРТУЗ;мешок;Картуз - Бумажный мешок для чего-н. сыпучего устар..;https://www.google.com/search?biw=1536&bih=754&sxsrf=ACYBGNQJD16K0uGoIdRbyIloK6h55fLrbA%3A1581890973672&ei=nb1JXrfcKIan6ATH_KHQDQ&q=%D0%9A%D0%90%D0%A0%D0%A2%D0%A3%D0%97&oq=%D0%9A%D0%90%D0%A0%D0%A2%D0%A3%D0%97&gs_l=psy-ab.3..0i131j0l9.23100.23430..23979...1.0..0.203.391.0j1j1......0....1j2..gws-wiz.....10..35i39j35i362i39.uXhgeAMWwt4&ved=0ahUKEwj3nryMi9fnAhWGE5oKHUd-CNo4MhDh1QMICw&uact=5;;;
78;КАРТУЗ;;;;;;
79;КАРТУЗ;;;;;;
80;КАРТУЗ;;;;;;
81;КАСТЕЛЯНША;заведующая;кастелянка - Заведующая бельём в больнице, доме отдыха, гостинице и т. п.;https://www.google.com/search?q=%D0%9A%D0%90%D0%A1%D0%A2%D0%95%D0%9B%D0%AF%D0%9D%D0%A8%D0%90&oq=%D0%9A%D0%90%D0%A1%D0%A2%D0%95%D0%9B%D0%AF%D0%9D%D0%A8%D0%90&aqs=chrome..69i57j0l7.449j0j9&sourceid=chrome&ie=UTF-8;;;
82;КАСТЕЛЯНША;сотрудница;Кастелянша - это сотрудница, ведающая хранением и выдачей одежды и белья.;https://www.profguide.io/professions/Kastelyansha.html;;;
83;КАСТЕЛЯНША;;;https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%81%D1%82%D0%BE%D0%BC%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F;;;
84;КАСТЕЛЯНША;;;http://www.marketch.ru/marketing_dictionary/marketing_terms_k/customization/;;;
85;КАСТЕЛЯНША;;;http://www.marketch.ru/marketing_dictionary/marketing_terms_k/customization/;;;
86;КАСТОМИЗАЦИЯ;индивидуализация;Кастомизация (от англ. to customize — настраивать, изменять что-то, делая более подходящим под нужды конкретного потребителя) — индивидуализация продукции под заказы конкретных потребителей путём внесения конструктивных или дизайнерских изменений (обычно — на конечных стадиях производственного цикла). Например, нанесение рисунка на приобретаемую в интернет-магазине футболку по заявке покупателя или изготовление свадебного торта с поздравительной надписью.;;;;
87;КАСТОМИЗАЦИЯ;адаптация;Кастомизация (customization) — адаптация массового продукта под запросы конкретного потребителя путем частичного изменения продукции под конкретный запрос, доукомплектования товара дополнительными элементами или принадлежностями.  Термин происхолдит от английского customer — клиент, потребитель.;;;;
88;КАСТОМИЗАЦИЯ;маркетинговая тактика;Кастомизация — маркетинговая тактика мотивации покупателя к приобретению продукции, включающая инструменты продуктового маркетинга, торгового маркетинга и консьюмер сервис.  С точки зрения производства, под кастомизацией понимается способность выполнения разового заказа изменения или адаптации серийного изделия на серийном производстве по индивидуальным характеристикам и по желанию заказчика.;;;;
89;КАСТОМИЗАЦИЯ;изменение;Компания «Dell» практикует услугу «Собери компьютер своей мечты»: можно установить необходимые характеристики для винчестера, выбрать требуемый объем памяти и много-много прочих характеристик. Эта новая тенденция преимущественно западных компаний – кастомизация – изменение традиционного товара/услуги под запросы отдельных потребителей.;;;;
90;КАСТОМИЗАЦИЯ;;;;;;
91;КАТЕХИЗИС;вероисповедный документ;"Катехи?зис (лат. catech?sis; от др.-греч. ?????????? — «поучение, наставление»; ???????? = ???? «вниз» + ???? «звук» — «внушать, отвечать») — официальный вероисповедный документ какой-либо конфессии; огласительное наставление; книга, содержащая основные положения вероучения, часто изложенные в виде вопросов и ответов.";https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D0%B5%D1%85%D0%B8%D0%B7%D0%B8%D1%81;;;
92;КАТЕХИЗИС;руководство;Катехизисом называют руководство, которое содержит основные положения христианского вероучения. То есть, это своего рода элементарный учебник веры, где изложены самые основы догматики и христианской нравственности. Но часто с этим словом, как правило, ассоциируется что-то совершенно сухое и скучное, оторванное от жизни. Катехизис представляется набором по большому счету ничего не говорящих правил и формул, и тогда к нему более чем к чему-либо еще, казалось бы, применимы слова Гете «суха, мой друг, теория везде, а древо жизни пышно зеленеет».;https://foma.ru/katexizis-oglashenie.html;;;
93;КАТЕХИЗИС;учебник веры ;Впрочем, если катехизис – это действительно учебник веры, то почему же он все-таки воспринимается как что-то предельно скучное? Ведь никто же не считает скучным, скажем, букварь. Однако в этом древнегреческом слове есть еще одно его значение, которое может помочь понять, почему и при каких условиях катехизис начинают ассоциировать с чем-то занудным и ненужным.;https://foma.ru/katexizis-oglashenie.html;;;
94;КАТЕХИЗИС;жанр христианской литературы;"Катехезис - [греч. ?????????; лат. catechismus, catechesis], жанр христианской вероучительной лит-ры. Как пособие для первоначального усвоения наиболее важных понятий и положений вероучения и церковной жизни К. предполагает краткость, ясность и однозначность изложения и, как правило, исключает рассмотрение и критику различных мнений по тем или иным спорным вопросам. Для К. характерна тезисная форма изложения материала в связи с тем, что, с одной стороны, на практике он обычно предназначался для заучивания наизусть, с др. стороны - как учебное пособие, предполагал устные разъяснения наставника или учителя. Дидактизм К. выражен в необязательной, но характерной для этого вида религ. лит-ры форме вопросов и ответов, предполагающих беседу ученика и учителя.";;;;
95;КАТЕХИЗИС;краткое изложение;Катехизис, то есть краткое изложение и объяснение важнейших догматов веры и христианской религии, в первую очередь для новообращенных, в особенности детей в школах;https://www.wdl.org/ru/item/14224/;;;
96;КАТОРЖАНИН;человек;Человек, бывший на каторге (за политическую деятельность).;https://www.google.com/search?q=%D0%9A%D0%90%D0%A2%D0%9E%D0%A0%D0%96%D0%90%D0%9D%D0%98%D0%9D&oq=%D0%9A%D0%90%D0%A2%D0%9E%D0%A0%D0%96%D0%90%D0%9D%D0%98%D0%9D&aqs=chrome..69i57j0l7.428j0j9&sourceid=chrome&ie=UTF-8;;;
97;КАТОРЖАНИН;осужденный;КАТОРЖАНИН - человек, отбывающий каторгу N1 или бывший на каторге (чаще об осужденных за политическую деятельность);https://slovar.cc/rus/ojegov/594080.html;;;
98;КАТОРЖАНИН;;;;;;
99;КАТОРЖАНИН;;;;;;
100;КАТОРЖАНИН;;;;;;
101;КАТЫШЕК;комочки;Пупочные катышки — комочки из пушистых тканевых волокон и пыли, периодически образующиеся к концу дня в пупках людей, чаще всего у мужчин с волосатыми животами. Цвет пупочных катышков, как правило, соответствует цвету носимой человеком одежды.Пупочные катышки являлись предметом нескольких опросов и исследований, причём не только журналистских, но и научных. В частности, в 2001 году профессор из Сиднейского университета Карл Крушельницки провёл социологический опрос, в котором его респонденты высказывали.;https://kartaslov.ru/%D0%B7%D0%BD%D0%B0%D1%87%D0%B5%D0%BD%D0%B8%D0%B5-%D1%81%D0%BB%D0%BE%D0%B2%D0%B0/%D0%BA%D0%B0%D1%82%D1%8B%D1%88%D0%B5%D0%BA;;;
102;КАТЫШЕК;шарик;"катыш — КАТЫШ -а; м. Разг. 1. Круглый комок, скатанный шарик из какого-л. мягкого вещества. К. хлеба, воска. // Округлый, окатанный камень. 2. Небольшой чурбан, круглый обрубок дерева. ? Катышек, -шка; м. Уменьш. Вымесить тесто без единого катышка.";Источник: https://gufo.me/dict/ozhegov/%D0%BA%D0%B0%D1%82%D1%8B%D1%88;;;
