name;hyperonim;text;link;bool;comment
КАРДИОМИОПАТИЯ;первичное заболевнаие сердечной системы;'Кардиомиопатии – это первичные заболевания сердечной мышцы. Их надо отличать от структурных заболеваний сердца, таких как ишемическая болезнь сердца, патология клапанного аппарата, врожденные пороки сердца. На основании патологических признаков кардиомиопатии подразделяются на 3 основных типа: (см. рисунок Типы кардиомиопатии [Forms of cardiomyopathy]):';'https://www.msdmanuals.com/ru/%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9/%D0%BD%D0%B0%D1%80%D1%83%D1%88%D0%B5%D0%BD%D0%B8%D1%8F-%D1%81%D0%B5%D1%80%D0%B4%D0%B5%D1%87%D0%BD%D0%BE-%D1%81%D0%BE%D1%81%D1%83%D0%B4%D0%B8%D1%81%D1%82%D0%BE%D0%B9-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%8B/%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D0%B8/%D0%BE%D0%B1%D0%B7%D0%BE%D1%80-%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D0%B9-overview-of-cardiomyopathies';1;
КАРДИОМИОПАТИЯ;нарушение функционирования миокарда ;'Дилатационная кардиомиопатия – нарушение функционирования миокарда, приводящее к сердечной недостаточно­сти, при которой преобладают дилатация желудочков и систолическая дисфункция. Симптомы включают одышку, усталость и периферические отеки. Диагноз устанавливают на основании клинических данных и повышенного содержания натрийуретических пептидов, результатов рентгенографии грудной клетки, эхокардиографии и МРТ. Лечение ориентировано на устранение причины заболевания. Если сердечная недостаточность является тяжелой и прогрессирующей, могут быть показаны: ресинхронизирующая сердечная терапия, ИКД, ликвидация тяжелой митральной регургитации или трансплантация сердца.';'https://www.msdmanuals.com/ru/%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D1%8C%D0%BD%D1%8B%D0%B9/%D0%BD%D0%B0%D1%80%D1%83%D1%88%D0%B5%D0%BD%D0%B8%D1%8F-%D1%81%D0%B5%D1%80%D0%B4%D0%B5%D1%87%D0%BD%D0%BE-%D1%81%D0%BE%D1%81%D1%83%D0%B4%D0%B8%D1%81%D1%82%D0%BE%D0%B9-%D1%81%D0%B8%D1%81%D1%82%D0%B5%D0%BC%D1%8B/%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D0%B8/%D0%B4%D0%B8%D0%BB%D0%B0%D1%82%D0%B0%D1%86%D0%B8%D0%BE%D0%BD%D0%BD%D0%B0%D1%8F-%D0%BA%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D1%8F';1;
КАРДИОМИОПАТИЯ;заболевание миокарда;'Кардиомиопатии — гетерогенная группа заболеваний миокарда, связанных с механической или электрической дисфункцией, которая обычно проявляется неадекватной гипертрофией или дилатацией. Кардиомиопатии могут как изолированно поражать только сердце, так и быть частью генерализованного системного заболевания, часто приводят к сердечно-сосудистой смерти или к инвалидизации, обусловленной прогрессирующей сердечной недостаточностью.';'https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D0%B4%D0%B8%D0%BE%D0%BC%D0%B8%D0%BE%D0%BF%D0%B0%D1%82%D0%B8%D0%B8';1;
КАРДИОМИОПАТИЯ;сердечная патология ;'Кардиомиопатия – это сердечная патология, характеризующаяся поражением миокарда (мышечного, срединно-расположенного слоя сердца). При заболевании отмечается нарушение циркуляции крови по всему организму, что негативно отражается на его функционировании и провоцирует угрозу для жизни человека.';'https://www.smclinic.ru/diseases/k/kardiomiopatiya/';1;
КАРДИОМИОПАТИЯ;группа заболеваний сердца;'Кардиомиопатии (КМП) — это группа заболеваний сердца, главной характеристикой которых является наличие дефектов в самой сердечной мышце, миокарде. При этом причины возникновения патологии и характер повреждения мышцы могут сильно различаться, что влечет за собой разницу в симптомах болезни и ее лечении.';'https://odrex.ua/treatment/kardiomiopatii/';1;
КАРЕТКА;часть велосипеда;'Велосипедная каретка (англ. bottom bracket) — часть велосипеда, соединяющая, с одной стороны, шатуны педалей и ведущую звезду и раму велосипеда, с другой стороны. Каретка позволяет свободно вращать шатуны педалей, приводить в движение велосипедную трансмиссию, при этом обеспечивая её жесткую фиксацию на велосипеде. Конструктивно представляет собой вал, систему подшипников и стакан, фиксирующий на каретку элемент на раме.';'https://ru.wikipedia.org/wiki/%D0%92%D0%B5%D0%BB%D0%BE%D1%81%D0%B8%D0%BF%D0%B5%D0%B4%D0%BD%D0%B0%D1%8F_%D0%BA%D0%B0%D1%80%D0%B5%D1%82%D0%BA%D0%B0';1;
КАРЕТКА;часть механизма;'КАРЕТКА — часть механизма или машины, передвигающаяся по направляющим или, реже, вращающаяся в подшипниках (в металлорежущих станках — часть суппорта, в пишущих машинках — рамка с валиком для бумаги, в ткацких станках — часть механизма, изготавливающая мелкоузорчатые или сложные переплетения тканей, в велосипедах — педальный механизм и др.).';'https://polytechnic_dictionary.academic.ru/875/%D0%9A%D0%90%D0%A0%D0%95%D0%A2%D0%9A%D0%90';1;
КАРЕТКА;часть машины;'КАРЕТКА — часть механизма или машины, передвигающаяся по направляющим или, реже, вращающаяся в подшипниках (в металлорежущих станках — часть суппорта, в пишущих машинках — рамка с валиком для бумаги, в ткацких станках — часть механизма, изготавливающая мелкоузорчатые или сложные переплетения тканей, в велосипедах — педальный механизм и др.).';'https://polytechnic_dictionary.academic.ru/875/%D0%9A%D0%90%D0%A0%D0%95%D0%A2%D0%9A%D0%90';1;
КАРЕТКА;рабочий орган вязаотной машины;'Каретка - это самый важный рабочий орган вязальной машины. Используя рычаги управления расположенные на каретке, можно управлять работой иголок для выполнения различных переплетений. То есть, при вязании узоров и сложных рисунков, иголки будут выдвигаться в рабочее или нерабочее положении. Те иголки, которые в рабочем положении, каретка будет провязывать и наоборот. Если каретка движется слева направо, то пользуются рычагами справа, и наоборот - это важный момент. Управление рычагами каретки вязальной машины при вязании различных узоров предпочтительней осваивать опытным путем.';'http://www.shyu.ru/shvejnye-terminy-k.html';1;
КАРЕТКА;узел;'Каретка - узел, помещающийся в кареточной трубе. Каретка состоит из вала (оси) каретки, подшипников и двух шатунов.';'https://sportextrem.ru/articles/poleznoe/slovar-velosipednykh-terminov/';1;
КАРТ;автомобиль ;'КАРТ (англ. cart) - гоночный микролитражный автомобиль без кузова, дифференциала и упругой подвески колес для соревнований на небольшой площадке (картинг). Двигатель 2-тактный с рабочим объемом до 250 см?. Максимальная скорость 150 км/ч.';'https://dic.academic.ru/dic.nsf/enc3p/149898';1;
КАРТ;гоночный автомобиль;'КАРТ (англ. cart) - гоночный микролитражный автомобиль без кузова, дифференциала и упругой подвески колес для соревнований на небольшой площадке (картинг). Двигатель 2-тактный с рабочим объемом до 250 см?. Максимальная скорость 150 км/ч.';'https://dic.academic.ru/dic.nsf/enc3p/149898';1;
КАРТ;транспорт;Автомобиль — средство безрельсового транспорта с собственным двигателем';https://ru.wikipedia.org/wiki/%D0%A2%D1%80%D0%B0%D0%BD%D1%81%D0%BF%D0%BE%D1%80%D1%82;0;карт=>автомобиль=>транспорт
КАРТ;машина;основной парк наших машин - это карты';https://www.kartracing.ru/%D1%83%D1%81%D1%82%D1%80%D0%BE%D0%B9%D1%81%D1%82%D0%B2%D0%BE-%D0%BA%D0%B0%D1%80%D1%82%D0%B0/;1;
КАРТ;средство передвижения;Автомобиль — это и роскошь, и средство передвижения';https://www.ntv.ru/novosti/3179/;0;карт=>автомобиль=>средство передвижения
КАРТИНГИСТ;спортсмен;'картингист - спортсмен, занимающийся картингом';'https://ru.wiktionary.org/wiki/%D0%BA%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%B3%D0%B8%D1%81%D1%82';1;
КАРТИНГИСТ;участник картинга;картингист - участник картинга';'http://xn----8sbauh0beb7ai9bh.xn--p1ai/%D0%BA%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%B3%D0%B8%D1%81%D1%82';1;
КАРТИНГИСТ;человек;Профессионал — человек, сделавший определённое занятие (дело) своей профессией';https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB;0;картингист=>профессионал=>человек
КАРТИНГИСТ;участник гонок;гонки на картах — простейших гоночных автомобилях без кузова.';https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D1%82%D0%B8%D0%BD%D0%B3;0;картинг=>гонки, картингист=>участник гонок
КАРТИНГИСТ;водитель ;Пилот — то же, что и гонщик, водитель гоночного автомобиля.';https://ru.wikipedia.org/wiki/%D0%A1%D0%BB%D0%BE%D0%B2%D0%B0%D1%80%D1%8C_%D0%B0%D0%B2%D1%82%D0%BE%D0%B3%D0%BE%D0%BD%D0%BE%D1%87%D0%BD%D1%8B%D1%85_%D1%82%D0%B5%D1%80%D0%BC%D0%B8%D0%BD%D0%BE%D0%B2;0;картингист=>гонщик=>водитель
КАРТОФЕЛЕВОД;специались;'картофелевод - Специалист по картофелеводству';'https://dic.academic.ru/dic.nsf/ogegova/80930';;
КАРТОФЕЛЕВОД;фермер;'Валентин Леконцев – один из ведущих картофелеводов и один из старейших фермеров Удмуртии. Свое КФХ под названием «Кузьмичево» он открыл еще в далеком 2002 году. Фермерствует мужчина уже 17 лет, из года в год получая стабильные урожаи «второго хлеба».';'http://mcx.ru/press-service/regions/lyudi-truda-kartofelevod-valentin-lekontsev-iz-udmurtii/';;
КАРТОФЕЛЕВОД;овощевод;;;;
КАРТОФЕЛЕВОД;растеньевод;;;;
КАРТОФЕЛЕВОД;человек;;;;
КАРТУЗ;головной убор;Картуз — мужской головной убор, имевший распространение в XVI — начале XX века в Северной и Восточной Европе (больше всего у немцев, голландцев и русских).';'https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%80%D1%82%D1%83%D0%B7';;
КАРТУЗ;мешок;'Картуз - Бумажный мешок для чего-н. сыпучего устар..';;;
КАРТУЗ;фуражка ;'картуз - мешок из нетлеющей ткани, содержащий метательный заряд пороха для орудий раздельного заряжания ? Для каждой скорострельной пищали полагается 150 картузов.';'https://ru.wiktionary.org/wiki/%D0%BA%D0%B0%D1%80%D1%82%D1%83%D0%B7';;
КАРТУЗ;предмет гардероба ;;;;
КАРТУЗ;одежда;;;;
КАСТЕЛЯНША;заведующая;кастелянка - Заведующая бельём в больнице, доме отдыха, гостинице и т. п.';https://spanwords.info/answer.php?key=88ab135bcd37956637a9b4508526d2c0&id=314922;;
КАСТЕЛЯНША;сотрудница;'Кастелянша - это сотрудница, ведающая хранением и выдачей одежды и белья.';'https://www.profguide.io/professions/Kastelyansha.html';;
КАСТЕЛЯНША;человек;;;;
КАСТЕЛЯНША;род дейстельности ;;;;
КАСТЕЛЯНША;сотрудник;;;;
КАСТОМИЗАЦИЯ;рыночный тренд;Кастомизация еще недавно считалась одним из основных рыночных трендов. ';https://www.ippnou.ru/print/007120/;;
КАСТОМИЗАЦИЯ;индивидуализация продукции;'Кастомизация (от англ. to customize — настраивать, изменять что-то, делая более подходящим под нужды конкретного потребителя) — индивидуализация продукции под заказы конкретных потребителей путём внесения конструктивных или дизайнерских изменений (обычно — на конечных стадиях производственного цикла). Например, нанесение рисунка на приобретаемую в интернет-магазине футболку по заявке покупателя или изготовление свадебного торта с поздравительной надписью.';'';;
КАСТОМИЗАЦИЯ;адаптация ;'Кастомизация (customization) — адаптация массового продукта под запросы конкретного потребителя путем частичного изменения продукции под конкретный запрос, доукомплектования товара дополнительными элементами или принадлежностями.  Термин происхолдит от английского customer — клиент, потребитель.';'';;
КАСТОМИЗАЦИЯ;маркетинговая тактика;'Кастомизация — маркетинговая тактика мотивации покупателя к приобретению продукции, включающая инструменты продуктового маркетинга, торгового маркетинга и консьюмер сервис.  С точки зрения производства, под кастомизацией понимается способность выполнения разового заказа изменения или адаптации серийного изделия на серийном производстве по индивидуальным характеристикам и по желанию заказчика.';'';;
КАСТОМИЗАЦИЯ;изменение; Эта новая тенденция преимущественно западных компаний – кастомизация – изменение традиционного товара/услуги под запросы отдельных потребителей.';'';;
КАТЕХИЗИС;;"'Катехи?зис (лат. catech?sis; от др.-греч. ?????????? — «поучение, наставление»; ???????? = ???? «вниз» + ???? «звук» — «внушать, отвечать») — официальный вероисповедный документ какой-либо конфессии; огласительное наставление; книга, содержащая основные положения вероучения, часто изложенные в виде вопросов и ответов.'";'https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D0%B5%D1%85%D0%B8%D0%B7%D0%B8%D1%81';;
